vertical,seed,keyword,avg_monthly_searches,competition,competition_index,low_top_page_bid,high_top_page_bid,intent,affiliate_program,affiliate_note
finance,online banking app,online deposit,5400,Thấp,4,0.72,19.94,unknown,,
forex,forex trading platform,metatrader 5,450000,Thấp,30,0.68,8.88,unknown,,
forex,forex trading platform,meta trader 5,450000,Thấp,30,0.68,8.88,unknown,,
forex,forex trading platform,metatrader 4,110000,Thấp,27,0.72,10.13,unknown,,
forex,forex trading platform,metatrader,110000,Trung bình,37,0.76,10.44,unknown,,
forex,forex trading platform,meta trader,110000,Trung bình,37,0.76,10.44,unknown,,
forex,forex broker,xmbroker,74000,Trung bình,39,0.92,10.56,unknown,,
forex,forex trading platform,c trader,60500,Thấp,24,0.71,8.18,unknown,,
forex,forex trading platform,forex trading platform,40500,Thấp,3,0.49,15.0,unknown,,
forex,forex trading platform,metatrader 5 download,40500,Thấp,20,0.84,8.38,unknown,,
forex,forex trading platform,fx trading platform,40500,Thấp,3,0.49,15.0,unknown,,
forex,forex trading platform,currency trading platforms,40500,Thấp,3,0.49,15.0,unknown,,
forex,forex trading platform,foreign exchange trading platform,40500,Thấp,3,0.49,15.0,unknown,,
forex,forex trading platform,trader platform,40500,Trung bình,50,0.76,17.71,unknown,,
forex,forex broker,exness trading,40500,Thấp,25,0.54,6.35,unknown,,
forex,forex broker,exness trader,40500,Thấp,25,0.54,6.35,unknown,,
forex,forex trading platform,metatrader 4 download,33100,Thấp,23,1.0,10.65,unknown,,
forex,forex broker,exness broker,33100,Trung bình,41,0.67,9.47,unknown,,
forex,forex trading platform,demo trade account,22200,Trung bình,49,0.22,5.92,unknown,,
forex,forex broker,iforex,22200,Thấp,13,0.98,8.36,unknown,,
forex,cfd trading,cfds on gold,18100,Thấp,1,0.9,9.11,unknown,,
forex,forex trading platform,best forex trading platform,12100,Thấp,14,0.83,15.0,commercial,,
forex,forex trading platform,best forex trading app,12100,Trung bình,40,0.58,5.07,navigational,,
forex,forex trading platform,best currency trading app,12100,Trung bình,40,0.58,5.07,navigational,,
forex,forex trading platform,best currency trading platform,12100,Thấp,14,0.83,15.0,commercial,,
forex,forex trading platform,exness mt5,9900,Thấp,12,0.91,9.98,unknown,,
forex,forex trading platform,meta trader 4,8100,Trung bình,40,0.67,9.0,unknown,,
forex,forex trading platform,metatrader 4 download pc,8100,Thấp,19,0.92,7.44,unknown,,
forex,forex trading platform,metatrader 5 web,8100,Thấp,30,0.52,5.57,unknown,,
forex,forex trading platform,webtrader,6600,Trung bình,38,0.72,5.86,unknown,,
forex,cfd trading,gold cfd,6600,Thấp,6,0.78,8.35,unknown,,
forex,forex broker,xm forex,5400,Thấp,31,0.96,16.89,unknown,,
forex,forex broker,hfm forex,5400,Trung bình,35,0.51,13.56,unknown,,
health_sports,home gym equipment,smart home gym,14800,Cao,100,0.57,5.41,unknown,,
health_sports,home gym equipment,best home gym,9900,Cao,100,0.62,5.51,commercial,,
health_sports,home gym equipment,fitness equipment near me,9900,Cao,92,0.66,5.88,unknown,,
health_sports,home gym equipment,home gym floor,9900,Cao,100,0.89,5.86,unknown,,
health_sports,protein powder,perfect amino powder,6600,Cao,100,0.62,38.28,unknown,,
health_sports,protein powder,pregnancy safe protein powder,6600,Cao,100,0.47,8.02,unknown,,
health_sports,home gym equipment,commercial exercise equipment,6600,Cao,100,0.69,7.82,unknown,,
health_sports,protein powder,ancient nutrition bone broth protein,5400,Cao,97,0.4,5.08,unknown,,
home_kitchen,mattress,mattress,1220000,Cao,100,0.21,6.24,unknown,,
home_kitchen,mattress,king size mattress,246000,Cao,100,0.84,5.03,unknown,,
home_kitchen,mattress,memory foam mattress,201000,Cao,100,0.54,5.74,unknown,,
home_kitchen,espresso machine,nespresso vertuo plus,49500,Cao,100,0.39,10.56,unknown,,
home_kitchen,espresso machine,vertuo plus nespresso,49500,Cao,100,0.39,10.56,unknown,,
home_kitchen,mattress,luxury mattress,49500,Thấp,31,0.86,8.79,unknown,,
home_kitchen,mattress,medium firm mattress,33100,Cao,100,0.85,5.68,unknown,,
home_kitchen,mattress,mattress online,27100,Cao,100,0.18,5.07,unknown,,
home_kitchen,mattress,leesa mattress,22200,Cao,100,0.56,8.04,unknown,,
home_kitchen,mattress,best mattress brands,22200,Cao,100,0.41,6.62,commercial,,
home_kitchen,mattress,chilipad,22200,Cao,100,0.69,6.51,unknown,,
home_kitchen,mattress,good mattress brands,22200,Cao,100,0.41,6.62,unknown,,
home_kitchen,espresso machine,coffee machines for offices,14800,Cao,100,0.18,6.35,unknown,,
home_kitchen,espresso machine,nespresso vertuo coffee pods,14800,Trung bình,49,0.25,6.15,unknown,,
home_kitchen,mattress,serta perfect sleeper,14800,Cao,100,0.88,5.13,unknown,,
home_kitchen,mattress,queen memory foam mattress,14800,Cao,100,0.96,5.94,unknown,,
home_kitchen,mattress,king bed mattress,14800,Cao,100,0.85,5.25,unknown,,
home_kitchen,mattress,firm mattress for back pain,12100,Cao,100,0.53,5.38,unknown,,
home_kitchen,mattress,kids mattress,12100,Cao,100,0.55,6.53,unknown,,
home_kitchen,espresso machine,vertuo plus,9900,Cao,100,0.43,9.23,unknown,,
home_kitchen,mattress,allswell mattress,9900,Cao,100,0.38,5.99,unknown,,
home_kitchen,mattress,top mattresses,9900,Cao,100,0.47,6.83,unknown,,
home_kitchen,mattress,mattress companies,9900,Cao,100,0.32,8.0,unknown,,
home_kitchen,mattress,lucid mattress,8100,Cao,100,0.48,5.51,unknown,,
home_kitchen,espresso machine,professional coffee machine,6600,Cao,100,0.57,5.68,unknown,,
home_kitchen,mattress,buy mattress,6600,Cao,100,0.49,7.0,transactional,,
home_kitchen,mattress,plush mattress,6600,Cao,100,0.94,5.94,unknown,,
home_kitchen,mattress,vispring mattress,6600,Cao,100,0.97,5.75,unknown,,
home_kitchen,mattress,mattress world,6600,Cao,100,0.75,5.67,unknown,,
home_kitchen,espresso machine,breville nespresso,5400,Cao,100,0.29,5.42,unknown,,
home_kitchen,espresso machine,nespresso vertuo plus deluxe,5400,Cao,100,0.53,10.95,unknown,,
home_kitchen,mattress,bed in a box queen,5400,Cao,100,0.74,5.74,unknown,,
home_kitchen,mattress,top mattress brands,5400,Cao,100,0.55,6.86,unknown,,
home_kitchen,mattress,good mattress,5400,Cao,100,0.79,6.57,unknown,,
hosting,vps hosting,vps,368000,Trung bình,49,0.77,5.6,unknown,,
hosting,vps hosting,virtual private server,368000,Trung bình,49,0.77,5.6,unknown,,
hosting,vps hosting,vps provider,368000,Trung bình,49,0.77,5.6,unknown,,
hosting,web hosting,web hosting,246000,Thấp,11,0.87,13.51,unknown,,
hosting,web hosting,website hosting,246000,Thấp,11,0.87,13.51,navigational,,
hosting,domain registration,domain registration,246000,Thấp,8,0.84,11.99,unknown,,
hosting,domain registration,register internet domain,246000,Thấp,8,0.84,11.99,unknown,,
hosting,domain registration,buy domain,110000,Cao,74,0.81,13.02,transactional,,
hosting,domain registration,buy at domain,110000,Cao,74,0.81,13.02,transactional,,
hosting,web hosting,web hosting wordpress,74000,Thấp,20,0.88,15.47,unknown,,
hosting,web hosting,wordpress site hosting,74000,Thấp,20,0.88,15.47,unknown,,
hosting,web hosting,wordpress domain hosting,74000,Thấp,20,0.88,15.47,unknown,,
hosting,web hosting,free website hosting,60500,Trung bình,58,0.46,5.83,navigational,,
hosting,web hosting,free web hosting,60500,Trung bình,58,0.46,5.83,unknown,,
hosting,web hosting,free hosting sites,60500,Trung bình,58,0.46,5.83,unknown,,
hosting,vps hosting,vps hosting,49500,Trung bình,54,0.85,6.79,unknown,,
hosting,vps hosting,vps web hosting,49500,Trung bình,54,0.85,6.79,unknown,,
hosting,vps hosting,vps virtual private server,49500,Trung bình,54,0.85,6.79,unknown,,
hosting,vps hosting,vps website hosting,49500,Trung bình,54,0.85,6.79,navigational,,
hosting,domain registration,cheap domain,49500,Cao,72,0.87,12.89,unknown,,
hosting,domain registration,cheap in domain,49500,Cao,72,0.87,12.89,unknown,,
hosting,web hosting,website domain,40500,Trung bình,59,0.67,17.13,navigational,,
hosting,vps hosting,hetzner vps,40500,Trung bình,51,0.92,5.79,unknown,,
hosting,web hosting,vps hosting free,33100,Trung bình,57,0.56,5.43,unknown,,
hosting,vps hosting,free vps,33100,Trung bình,57,0.56,5.43,unknown,,
hosting,vps hosting,vps server,33100,Trung bình,64,0.9,7.34,unknown,,
hosting,vps hosting,free vps server,33100,Trung bình,57,0.56,5.43,unknown,,
hosting,vps hosting,vps serveriai,33100,Trung bình,64,0.9,7.34,unknown,,
hosting,vps hosting,free vps provider,33100,Trung bình,57,0.56,5.43,unknown,,
hosting,domain registration,domain purchase,33100,Cao,77,0.47,10.52,unknown,,
hosting,web hosting,shared hosting,27100,Thấp,16,0.48,6.19,unknown,,
hosting,web hosting,cheap vps hosting,27100,Trung bình,62,0.95,6.96,unknown,,
hosting,web hosting,shared web hosting,27100,Thấp,16,0.48,6.19,unknown,,
hosting,vps hosting,cheap vps,27100,Trung bình,62,0.95,6.96,unknown,,
hosting,vps hosting,cheap vps server,27100,Trung bình,62,0.95,6.96,unknown,,
hosting,vps hosting,affordable vps,27100,Trung bình,62,0.95,6.96,unknown,,
hosting,vps hosting,cheap vps providers,27100,Trung bình,62,0.95,6.96,unknown,,
hosting,domain registration,com domain registration,27100,Thấp,11,0.67,7.86,unknown,,
hosting,domain registration,register a com domain name,27100,Thấp,11,0.67,7.86,unknown,,
hosting,web hosting,web hosting services,22200,Thấp,30,0.95,15.65,unknown,,
hosting,web hosting,website hosting services,22200,Thấp,30,0.95,15.65,navigational,,
hosting,web hosting,cloud hosting,22200,Trung bình,43,0.47,5.84,unknown,,
hosting,web hosting,hostinger website builder,22200,Trung bình,46,0.23,7.49,navigational,,
hosting,web hosting,cloud web hosting,22200,Trung bình,43,0.47,5.84,unknown,,
hosting,vps hosting,contabo vps,22200,Trung bình,56,0.66,7.36,unknown,,
hosting,web hosting,domain hosting,18100,Trung bình,57,0.54,10.92,unknown,,
hosting,web hosting,web hosting and domain,18100,Trung bình,57,0.54,10.92,unknown,,
hosting,web hosting,website hosting and domain,18100,Trung bình,57,0.54,10.92,navigational,,
hosting,web hosting,free domain hosting,14800,Trung bình,63,0.34,6.1,unknown,,
hosting,web hosting,free domain name and hosting,14800,Trung bình,63,0.34,6.1,unknown,,
hosting,web hosting,free website hosting and domain,14800,Trung bình,63,0.34,6.1,navigational,,
hosting,web hosting,free web hosting and domain,14800,Trung bình,63,0.34,6.1,unknown,,
hosting,web hosting,web names,14800,Thấp,28,0.36,9.35,unknown,,
hosting,web hosting,server host,14800,Trung bình,47,0.81,9.0,unknown,,
hosting,vps hosting,vps digital ocean,14800,Thấp,29,0.94,7.0,unknown,,
hosting,web hosting,godaddy hosting,12100,Trung bình,64,0.49,6.0,unknown,,
hosting,domain registration,cloudflare domain registration,12100,Trung bình,34,0.96,7.96,unknown,,
hosting,web hosting,hosting sites,9900,Trung bình,44,0.82,11.76,unknown,,
hosting,web hosting,host site,9900,Trung bình,44,0.82,11.76,unknown,,
hosting,web hosting,website hosting sites,9900,Trung bình,44,0.82,11.76,navigational,,
hosting,vps hosting,cloud vps,9900,Trung bình,48,0.75,5.92,unknown,,
hosting,vps hosting,cloud vps hosting,9900,Trung bình,48,0.75,5.92,unknown,,
hosting,vps hosting,vps server cloud,9900,Trung bình,48,0.75,5.92,unknown,,
hosting,vps hosting,cloud vps providers,9900,Trung bình,48,0.75,5.92,unknown,,
hosting,web hosting,godaddy web hosting,8100,Thấp,10,0.72,7.37,unknown,,
hosting,vps hosting,vultr vps,8100,Trung bình,57,0.53,6.38,unknown,,
hosting,domain registration,domain owner lookup,8100,Trung bình,44,0.4,5.15,unknown,,
hosting,domain registration,domain name owner lookup,8100,Trung bình,44,0.4,5.15,unknown,,
hosting,web hosting,aws hosting,6600,Trung bình,48,0.61,6.54,unknown,,
hosting,web hosting,google host,6600,Trung bình,51,0.93,10.82,unknown,,
hosting,web hosting,aws web hosting,6600,Trung bình,48,0.61,6.54,unknown,,
hosting,web hosting,amazon hosting,6600,Trung bình,37,0.55,6.26,unknown,,
hosting,web hosting,amazon web hosting,6600,Trung bình,37,0.55,6.26,unknown,,
hosting,web hosting,free html hosting,6600,Trung bình,40,0.56,5.33,unknown,,
hosting,web hosting,server hosting services,6600,Trung bình,41,0.58,7.71,unknown,,
hosting,vps hosting,oracle vps,6600,Trung bình,39,0.8,5.84,unknown,,
hosting,vps hosting,pq hosting,6600,Thấp,17,0.98,5.36,unknown,,
hosting,domain registration,domain registration lookup,6600,Trung bình,53,0.93,8.19,unknown,,
hosting,domain registration,domain name registration lookup,6600,Trung bình,53,0.93,8.19,unknown,,
hosting,domain registration,cloudflare buy domain,6600,Trung bình,43,0.9,8.33,transactional,,
hosting,domain registration,domain registration search,6600,Trung bình,53,0.93,8.19,unknown,,
hosting,web hosting,linux hosting,5400,Thấp,30,0.69,6.08,unknown,,
hosting,web hosting,domains cheap,5400,Cao,71,0.98,10.69,unknown,,
hosting,web hosting,ovh web hosting,5400,Trung bình,44,0.68,5.23,unknown,,
hosting,domain registration,google domain search,5400,Trung bình,66,0.59,13.43,unknown,,
hosting,domain registration,google domains lookup,5400,Trung bình,66,0.59,13.43,unknown,,
insurance,travel insurance,etiqa travel insurance,49500,Trung bình,60,0.57,5.98,unknown,,
insurance,travel insurance,axa travel insurance,33100,Trung bình,62,0.95,5.52,unknown,,
insurance,car insurance quotes,car insurance price,22200,Trung bình,60,0.47,11.7,transactional,,
insurance,travel insurance,rac travel insurance,12100,Trung bình,66,0.73,8.28,unknown,,
pets,dog food,flea treatment for dogs,135000,Cao,100,0.81,6.19,unknown,,
pets,dog food,puppy food,90500,Cao,100,0.76,8.0,unknown,,
pets,dog food,badlands ranch dog food,60500,Cao,100,0.54,6.04,unknown,,
pets,dog food,homemade dog food,27100,Cao,100,0.26,5.21,unknown,,
pets,cat litter box,unscented cat litter,18100,Cao,98,0.72,6.0,unknown,,
pets,dog food,fish for dogs,14800,Cao,100,0.7,40.77,unknown,,
pets,dog food,stella and chewy dog food,12100,Cao,100,0.5,5.0,unknown,,
pets,dog food,maev dog food,12100,Cao,100,0.92,8.2,unknown,,
pets,dog food,royal canin hydrolyzed protein,9900,Cao,100,0.86,5.51,unknown,,
pets,dog food,forthglade dog food,9900,Cao,100,0.66,6.01,unknown,,
pets,dog food,purina pro plan large breed puppy,9900,Cao,100,0.88,12.69,unknown,,
pets,dog food,blue diamond dog food,9900,Cao,100,0.67,6.68,unknown,,
pets,dog food,natures menu dog food,8100,Cao,100,0.8,6.46,unknown,,
pets,dog food,greenies dental treats,8100,Cao,100,0.53,5.79,unknown,,
pets,dog food,cheap dog food,8100,Cao,100,0.57,5.77,unknown,,
pets,cat litter box,robot cat litter box,6600,Cao,100,0.86,5.29,unknown,,
pets,dog food,purina pro plan small breed,5400,Cao,100,0.99,9.8,unknown,,
saas_crm,crm software,best free crm software,450000,Trung bình,36,0.68,29.72,commercial,,
saas_crm,crm software,crm software,301000,Thấp,12,0.78,19.88,unknown,,
saas_crm,crm software,customer relationship management software,301000,Thấp,12,0.78,19.88,unknown,,
saas_crm,crm software,customer management software,301000,Thấp,12,0.78,19.88,unknown,,
saas_crm,crm software,crm management software,301000,Thấp,12,0.78,19.88,unknown,,
saas_crm,crm software,relationship management software,301000,Thấp,12,0.78,19.88,unknown,,
saas_crm,crm software,zoho creator,74000,Thấp,7,0.7,9.93,unknown,,
saas_crm,crm software,crm tool,49500,Trung bình,44,0.52,14.58,unknown,,
saas_crm,crm software,salesforce crm software,33100,Thấp,1,0.81,13.4,unknown,,
saas_crm,crm software,odoo crm,22200,Trung bình,39,0.85,8.24,unknown,,
saas_crm,crm software,recruitment crm,18100,Trung bình,34,0.94,32.01,unknown,,
saas_crm,crm software,recruitment crm systems,18100,Trung bình,34,0.94,32.01,unknown,,
saas_crm,crm software,crm recruitment,18100,Trung bình,34,0.94,32.01,unknown,,
saas_crm,crm software,crm marketing,14800,Trung bình,35,0.92,11.35,unknown,,
saas_crm,crm software,zoho crm pricing,14800,Thấp,14,0.59,11.82,transactional,,
saas_crm,email marketing software,email marketing tools,14800,Trung bình,38,0.67,18.77,unknown,,
saas_crm,crm software,bitrix24 crm,6600,Trung bình,45,0.5,8.57,unknown,,
saas_crm,crm software,zoho software,6600,Trung bình,39,0.43,7.18,unknown,,
saas_crm,crm software,erp crm,5400,Thấp,32,0.71,7.95,unknown,,
