mảng,tên dự án,domain dự án,lượt tìm kiếm/tháng,chi phí đầu trang (USD),chi phí thấp nhất (USD),cạnh tranh,affiliate,trang affiliate,mạng affiliate,ghi chú
ai_tools,writesonic,writesonic.com,49500,7.73,0.12,Thấp,có,https://writesonic.com/affiliate,FirstPromoter,
ai_video,heygen,heygen.com,1500000,2.29,0.12,Trung bình,có,https://www.heygen.com/geniverse/social-creator-program,Rewardful,
ai_video,d id,d-id.com,1000000,1.44,0.04,Thấp,có,https://www.d-id.com/affiliate-terms/,,
ai_video,opus clip,opus.pro,673000,2.35,0.07,Thấp,có,https://www.opus.pro/affiliate,Rewardful,
ai_video,fliki,fliki.ai,90500,1.05,0.01,Trung bình,có,https://fliki.ai/affiliate-program,,
ai_video,colossyan,colossyan.com,14800,16.21,0.42,Trung bình,có,https://www.colossyan.com/affiliate-program/,Rewardful,
ai_voice,speechify,speechify.com,368000,2.30,0.10,Trung bình,không rõ,,,không tải được trang chủ
ai_voice,murf ai,murf.ai,90500,0.99,0.02,Trung bình,có,https://murf.ai/partner-with-us/affiliate,PartnerStack,
ai_voice,play ht,play.ht,60500,0.96,0.02,Trung bình,không rõ,,,trang chủ lỗi: ConnectionError
ai_voice,lovo ai,lovo.ai,27100,0.81,0.03,Thấp,không rõ,,,không tải được trang chủ
auto,autozone,autozone.com,11100000,0.09,0.02,Thấp,không rõ,,,không tải được trang chủ
auto,discount tire,discounttire.com,4090000,1.91,0.30,Thấp,không rõ,,,không tải được trang chủ
auto,advance auto parts,advanceautoparts.com,3350000,0.36,0.36,Trung bình,không rõ,,,không tải được trang chủ
auto,tire rack,tirerack.com,673000,2.83,0.67,Cao,không rõ,,,không tải được trang chủ
auto,carparts.com,carparts.com,673000,2.20,0.42,Cao,không rõ,,,trang chủ lỗi: ReadTimeout
auto,rough country,roughcountry.com,368000,1.06,0.21,Trung bình,không rõ,,,không tải được trang chủ
auto,chemical guys,chemicalguys.com,135000,1.15,0.22,Cao,có,https://www.chemicalguys.com/pages/affiliate-program,CJ,
auto,yakima,yakima.com,110000,0.82,0.03,Thấp,có thể,,AvantLink,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
auto,meguiars,meguiars.com,110000,0.72,0.08,Cao,không rõ,,,trang chủ lỗi: ReadTimeout
auto,viofo,viofo.com,40500,0.99,0.10,Cao,có,https://www.viofo.com/pages/affiliate-program,ShareASale,
auto,covercraft,covercraft.com,22200,7.00,1.38,Cao,không rõ,,,không tải được trang chủ
auto,vivid racing,vividracing.com,14800,11.78,0.94,Cao,không rõ,,,không tải được trang chủ
auto,shine armor,shinearmor.com,6600,0.42,0.04,Cao,có thể,,UpPromote,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
auto,car supplies warehouse,carsupplieswarehouse.com,4400,3.39,0.89,Cao,có,https://www.carsupplieswarehouse.com/pages/affiliate-program,UpPromote,
auto,yitamotor,yitamotor.com,1600,0.93,0.25,Cao,không rõ,,,không tải được trang chủ
baby,owlet,owletcare.com,246000,0.60,0.11,Cao,có,https://owletcare.com/pages/affiliate-program,Awin,
baby,graco,gracobaby.com,135000,9.58,0.28,Cao,không rõ,,,không tải được trang chủ
baby,lovevery,lovevery.com,135000,6.47,0.49,Cao,có,https://lovevery.com/pages/affiliate-partnerships,,
baby,ergobaby,ergobaby.com,90500,0.96,0.09,Cao,có,https://ergobaby.com/en-us/pages/affiliates,Awin,
baby,babybjorn,babybjorn.com,74000,0.91,0.11,Cao,có,https://www.babybjorn.com/about/become-an-affiliate/,CJ,
baby,wonderfold,wonderfoldwagon.com,27100,0.88,0.17,Cao,chỉ referral,https://wonderfold.com/pages/creator-program,Rakuten,
baby,honest company,honest.com,18100,2.70,0.16,Cao,có,https://honest.com/pages/become-an-honest-brand-ambassador,,
baby,newton baby,newtonbaby.com,6600,7.01,1.04,Cao,có,https://www.newtonbaby.com/pages/affiliate-program,Awin,
baby,finn and emma,finnandemma.com,1600,2.81,0.53,Cao,có,https://www.finnandemma.com/pages/affiliate-program,ShareASale,
baby,smiling tree toys,smilingtreetoys.com,390,0.77,0.54,Trung bình,có,https://smilingtreetoys.com/pages/join-our-affiliate-program,Awin,
beauty,sephora,sephora.com,16600000,0.70,0.12,Cao,có thể,,"Pepperjam, Rakuten, ShareASale","thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
beauty,ulta,ulta.com,5000000,0.50,0.50,Cao,không rõ,,,không tải được trang chủ
beauty,la roche posay,laroche-posay.us,2240000,0.79,0.14,Cao,không rõ,,,không tải được trang chủ
beauty,kiehls,kiehls.com,673000,11.52,0.34,Cao,không rõ,,,không tải được trang chủ
beauty,olaplex,olaplex.com,673000,1.11,0.16,Cao,có thể,,Rakuten,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
beauty,il makiage,ilmakiage.com,301000,5.71,1.08,Cao,không rõ,,,không tải được trang chủ
beauty,drunk elephant,drunkelephant.com,201000,7.00,0.28,Cao,có thể,,Pepperjam,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
beauty,tatcha,tatcha.com,165000,4.44,0.38,Cao,có thể,,Rakuten,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
beauty,bubble skincare,hellobubble.com,165000,0.71,0.08,Cao,không rõ,,,không tải được trang chủ
beauty,naturium,naturium.com,135000,0.73,0.18,Cao,có thể,,ShareASale,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
beauty,youth to the people,youthtothepeople.com,49500,1.95,0.32,Cao,không rõ,,,không tải được trang chủ
beauty,sigma beauty,sigmabeauty.com,8100,1.00,0.24,Cao,không rõ,,,không tải được trang chủ
beauty,wishtrend,wishtrend.com,4400,1.00,0.15,Cao,không rõ,,,không tải được trang chủ
beauty,versed skin,versedskin.com,1600,1.25,0.17,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,rei,rei.com,4090000,2.46,0.01,Thấp,không rõ,,,trang chủ lỗi: ReadTimeout
camping_outdoor,patagonia,patagonia.com,3350000,1.14,0.03,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,the north face,thenorthface.com,2740000,0.74,0.05,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,yeti,yeti.com,1830000,32.43,0.33,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,hydro flask,hydroflask.com,550000,0.62,0.10,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,black diamond,blackdiamondequipment.com,368000,1.13,0.12,Trung bình,không rõ,,,không tải được trang chủ
camping_outdoor,coleman,coleman.com,246000,1.43,0.09,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,snow peak,snowpeak.com,201000,0.77,0.15,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,sea to summit,seatosummitusa.com,74000,0.77,0.15,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,hyperlite mountain gear,hyperlitemountaingear.com,74000,2.80,0.35,Trung bình,có,https://hyperlitemountaingear.com/pages/hyperlite-mountain-gear-affiliate-program,AvantLink,
camping_outdoor,zpacks,zpacks.com,60500,1.90,0.01,Trung bình,không rõ,,,không tải được trang chủ
camping_outdoor,big agnes,bigagnes.com,33100,0.85,0.01,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,helinox,helinox.com,33100,0.62,0.09,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,kelty,kelty.com,27100,1.26,0.27,Trung bình,không rõ,,,không tải được trang chủ
camping_outdoor,gossamer gear,gossamergear.com,18100,1.09,0.18,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,nemo equipment,nemoequipment.com,8100,1.02,0.18,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,durston gear,durstongear.com,8100,6.88,1.04,Trung bình,không rõ,,,không tải được trang chủ
camping_outdoor,gci outdoor,gcioutdoor.com,6600,0.47,0.11,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,tentsile,tentsile.com,4400,0.54,0.13,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,vargo outdoors,vargooutdoors.com,320,1.10,0.23,Cao,không rõ,,,không tải được trang chủ
camping_outdoor,life in tents,lifeintents.com,260,4.83,0.67,Cao,không rõ,,,không tải được trang chủ
crypto,binance,binance.com,4090000,2.15,0.04,Thấp,không rõ,,,không tải được trang chủ
crypto,bybit,bybit.com,823000,2.26,0.01,Thấp,chỉ referral,https://www.bybit.com/referral,,
crypto,okx,okx.com,550000,49.70,0.05,Thấp,có,https://www.okx.com/affiliates,,
crypto,mexc,mexc.com,450000,7.23,0.20,Thấp,không rõ,,,trang chủ lỗi: ReadTimeout
crypto,ledger,ledger.com,450000,16.00,0.79,Cao,chỉ referral,https://www.ledger.com/referral,,
crypto,bitget,bitget.com,368000,3.80,1.51,Thấp,có,https://www.bitget.com/affiliates,,
crypto,coindcx,coindcx.com,246000,5.37,0.30,Thấp,không rõ,,,không tải được trang chủ
crypto,kucoin,kucoin.com,165000,8.63,0.61,Thấp,có,https://www.kucoin.com/affiliate,,
crypto,trezor,trezor.io,135000,1.94,0.25,Cao,có,https://trezor.io/affiliate,,
crypto,gate.io,gate.io,90500,917.55,1.00,Thấp,không rõ,,,không tải được trang chủ
cycling_sports,decathlon,decathlon.com,24900000,0.34,0.01,Trung bình,không rõ,,,không tải được trang chủ
cycling_sports,under armour,underarmour.com,4090000,1.54,0.12,Cao,không rõ,,,không tải được trang chủ
cycling_sports,specialized,specialized.com,823000,1.13,0.05,Cao,có,https://www.specialized.com/us/en/specialized-affiliate-program,Rakuten,
cycling_sports,muc off,muc-off.com,74000,0.39,0.19,Cao,không rõ,,,không tải được trang chủ
cycling_sports,rad power bikes,radpowerbikes.com,74000,3.78,0.04,Cao,không rõ,,,không tải được trang chủ
cycling_sports,aventon,aventon.com,60500,26.07,1.59,Cao,không rõ,,,không tải được trang chủ
cycling_sports,silca,silca.cc,33100,0.65,0.17,Trung bình,không rõ,,,không tải được trang chủ
cycling_sports,ride1up,ride1up.com,22200,2.94,0.08,Cao,có,https://ride1up.com/affiliate-program/,AvantLink,
cycling_sports,state bicycle,statebicycle.com,12100,6.45,0.45,Trung bình,không rõ,,,không tải được trang chủ
cycling_sports,ornot,ornotbike.com,12100,1.06,0.10,Thấp,không rõ,,,không tải được trang chủ
cycling_sports,wahoo fitness,wahoofitness.com,9900,2.52,0.35,Cao,có,https://www.wahoofitness.com/affiliates,Refersion,
cycling_sports,pnw components,pnwcomponents.com,6600,0.35,0.05,Trung bình,không rõ,,,không tải được trang chủ
cycling_sports,priority bicycles,prioritybicycles.com,5400,3.62,0.45,Cao,không rõ,,,không tải được trang chủ
cycling_sports,blix bike,blixbike.com,1300,3.88,0.81,Cao,không rõ,,,không tải được trang chủ
diy_garden,home depot,homedepot.com,37200000,0.06,0.04,Thấp,không rõ,,,không tải được trang chủ
diy_garden,harbor freight,harborfreight.com,9140000,3.00,0.34,Thấp,không rõ,,,không tải được trang chủ
diy_garden,ace hardware,acehardware.com,4090000,1.48,0.49,Trung bình,không rõ,,,không tải được trang chủ
diy_garden,makita,makita.com,1000000,0.61,0.07,Cao,không rõ,,,trang chủ lỗi: SSLError
diy_garden,ryobi,ryobitools.com,550000,1.25,0.15,Cao,không rõ,,,không tải được trang chủ
diy_garden,greenworks,greenworkstools.com,90500,1.86,0.21,Cao,không rõ,,,không tải được trang chủ
diy_garden,woodcraft,woodcraft.com,90500,1.13,0.14,Trung bình,không rõ,,,không tải được trang chủ
diy_garden,fireball tool,fireballtool.com,22200,9.98,0.04,Thấp,không rõ,,,không tải được trang chủ
diy_garden,wen products,wenproducts.com,1600,2.60,0.26,Cao,không rõ,,,không tải được trang chủ
education,preply,preply.com,1220000,10.22,0.37,Trung bình,không rõ,,,không tải được trang chủ
education,masterclass,masterclass.com,246000,5.44,0.77,Thấp,không rõ,,,không tải được trang chủ
education,italki,italki.com,246000,13.57,0.16,Trung bình,có,https://www.italki.com:443/en/affiliates,,
education,busuu,busuu.com,246000,2.33,0.18,Thấp,có,https://www.busuu.com/en/partners,CJ,
education,teachable,teachable.com,90500,10.86,0.35,Trung bình,có,https://www.teachable.com/partners,PartnerStack,
education,thinkific,thinkific.com,74000,22.51,0.75,Trung bình,không rõ,,,không tải được trang chủ
electronics,jbl,jbl.com,2240000,0.37,0.06,Cao,không rõ,,,trang chủ lỗi: SSLError
electronics,sony,sony.com,2240000,1.37,0.09,Thấp,không rõ,,,không tải được trang chủ
electronics,insta360,insta360.com,1830000,0.45,0.04,Cao,có,https://www.insta360.com/enterprise/industries/partnership,,
electronics,gopro,gopro.com,1830000,0.40,0.04,Cao,không rõ,,,không tải được trang chủ
electronics,msi,msi.com,1220000,0.74,0.08,Thấp,không rõ,,,không tải được trang chủ
electronics,roborock,roborock.com,1000000,1.08,0.15,Cao,không rõ,,,trang chủ lỗi: ConnectTimeout
electronics,acer,acer.com,823000,1.79,0.10,Cao,không rõ,,,trang chủ lỗi: ReadTimeout
electronics,sonos,sonos.com,673000,0.89,0.20,Cao,không rõ,,,không tải được trang chủ
electronics,ugreen,ugreen.com,550000,1.10,0.07,Cao,không rõ,,,không tải được trang chủ
electronics,soundcore,soundcore.com,450000,0.51,0.07,Cao,có,https://www.soundcore.com/referral,Rakuten,
electronics,keychron,keychron.com,368000,0.51,0.04,Cao,không rõ,,,không tải được trang chủ
electronics,baseus,baseus.com,246000,0.50,0.04,Cao,không rõ,,,không tải được trang chủ
electronics,lg electronics,lg.com,90500,3.54,0.19,Thấp,không rõ,,,không tải được trang chủ
electronics,nuphy,nuphy.com,74000,0.31,0.10,Cao,không rõ,,,không tải được trang chủ
electronics,grovemade,grovemade.com,18100,3.93,0.13,Cao,có thể,,Refersion,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
fashion,lululemon,lululemon.com,13600000,10.40,0.30,Cao,không rõ,,,không tải được trang chủ
fashion,asos,asos.com,6120000,1.11,0.30,Cao,không rõ,,,trang chủ lỗi: ReadTimeout
fashion,nordstrom,nordstrom.com,6120000,2.29,0.04,Cao,không rõ,,,không tải được trang chủ
fashion,gymshark,gymshark.com,4090000,0.81,0.06,Cao,không rõ,,,không tải được trang chủ
fashion,ray ban,ray-ban.com,2740000,1.05,0.21,Cao,không rõ,,,không tải được trang chủ
fashion,farfetch,farfetch.com,1500000,10.18,0.36,Cao,không rõ,,,không tải được trang chủ
fashion,revolve,revolve.com,1220000,0.87,0.05,Cao,không rõ,,,trang chủ lỗi: ReadTimeout
fashion,alo yoga,aloyoga.com,1000000,1.29,0.13,Cao,không rõ,,,không tải được trang chủ
fashion,bombas,bombas.com,823000,2.00,0.49,Cao,không rõ,,,không tải được trang chủ
fashion,daniel wellington,danielwellington.com,368000,2.39,0.09,Cao,không rõ,,,không tải được trang chủ
fashion,everlane,everlane.com,368000,1.95,0.26,Cao,không rõ,,,không tải được trang chủ
fashion,allbirds,allbirds.com,368000,2.50,0.04,Cao,không rõ,,,không tải được trang chủ
fashion,buck mason,buckmason.com,301000,1.22,0.03,Cao,có,https://www.buckmason.com/pages/affiliates,ShareASale,
fashion,olukai,olukai.com,201000,1.05,0.25,Cao,không rõ,,,không tải được trang chủ
fashion,vessi,vessi.com,110000,2.27,0.20,Cao,không rõ,,,không tải được trang chủ
fashion,ten thousand,tenthousand.cc,60500,2.98,0.63,Trung bình,không rõ,,,không tải được trang chủ
fashion,taylor stitch,taylorstitch.com,60500,2.29,0.11,Cao,không rõ,,,không tải được trang chủ
fashion,consuela,consuelastyle.com,49500,33.67,0.81,Cao,không rõ,,,không tải được trang chủ
fashion,mvmt watches,mvmt.com,33100,1.83,0.12,Cao,không rõ,,,không tải được trang chủ
fashion,atoms shoes,atoms.com,5400,4.35,0.76,Cao,không rõ,,,không tải được trang chủ
finance,wise,wise.com,2240000,3.72,0.11,Thấp,có,https://wise.com/gb/partnerwise,,
finance,quickbooks,quickbooks.intuit.com,1830000,21.74,3.06,Trung bình,không rõ,,,trang chủ lỗi: ReadTimeout
finance,sofi,sofi.com,1220000,26.07,4.54,Trung bình,không rõ,,,không tải được trang chủ
finance,chime,chime.com,1220000,7.56,3.57,Trung bình,không rõ,,,không tải được trang chủ
finance,payoneer,payoneer.com,823000,8.13,0.51,Thấp,có,https://www.payoneer.com/affiliate-program/,,
finance,upstart,upstart.com,450000,9.95,1.88,Trung bình,không rõ,,,không tải được trang chủ
finance,lendingclub,lendingclub.com,246000,22.79,6.73,Trung bình,không rõ,,,không tải được trang chủ
forex,exness,exness.com,1830000,7.09,0.63,Thấp,không rõ,,,trang chủ lỗi: ReadTimeout
forex,xm,xm.com,1000000,20.95,0.38,Thấp,không rõ,,,trang chủ lỗi: ConnectionError
forex,interactive brokers,interactivebrokers.com,673000,9.14,0.92,Thấp,không rõ,,,trang chủ lỗi: ConnectionError
forex,etoro,etoro.com,673000,8.20,1.15,Thấp,không rõ,,,trang chủ lỗi: ReadTimeout
forex,oanda,oanda.com,450000,10.88,2.67,Thấp,không rõ,,,trang chủ lỗi: ReadTimeout
forex,hfm,hfm.com,450000,2.59,0.42,Trung bình,không rõ,,,trang chủ lỗi: ReadTimeout
forex,ic markets,icmarkets.com,246000,15.47,0.99,Thấp,không rõ,,,trang chủ lỗi: ReadTimeout
forex,plus500,plus500.com,165000,25.23,1.60,Trung bình,không rõ,,,trang chủ lỗi: ReadTimeout
forex,roboforex,roboforex.com,135000,6.00,1.13,Thấp,không rõ,,,trang chủ lỗi: ConnectionError
forex,octafx,octafx.com,110000,11.24,1.23,Trung bình,không rõ,,,trang chủ lỗi: ReadTimeout
forex,saxo bank,home.saxo,110000,6.22,0.57,Thấp,không rõ,,,trang chủ lỗi: ReadTimeout
forex,fxpro,fxpro.com,90500,48.60,0.85,Trung bình,không rõ,,,trang chủ lỗi: ReadTimeout
forex,cmc markets,cmcmarkets.com,90500,50.36,3.58,Thấp,không rõ,,,trang chủ lỗi: ReadTimeout
forex,avatrade,avatrade.com,74000,16.43,1.13,Trung bình,không rõ,,,trang chủ lỗi: ReadTimeout
forex,forex.com,forex.com,14800,26.09,0.65,Trung bình,không rõ,,,trang chủ lỗi: ConnectionError
forex,fxtm,fxtm.com,14800,15.62,1.19,Trung bình,không rõ,,,trang chủ lỗi: ConnectionError
forex,trading.com,trading.com,12100,6.51,0.21,Trung bình,không rõ,,,trang chủ lỗi: ConnectionError
forex,ig,ig.com,8100,25.76,1.90,Trung bình,không rõ,,,trang chủ lỗi: ReadTimeout
forex,tastyfx,tastyfx.com,4400,31.58,4.04,Thấp,không rõ,,,trang chủ lỗi: ConnectionError
furniture_office,flexispot,flexispot.com,201000,8.22,0.54,Cao,có,https://www.flexispot.com/affiliate,,
furniture_office,sihoo,sihoooffice.com,49500,12.88,0.40,Cao,không rõ,,,không tải được trang chủ
furniture_office,desky,deskyusa.com,33100,4.39,0.82,Cao,không rõ,,,trang chủ lỗi: ConnectionError
furniture_office,branch furniture,branchfurniture.com,9900,5.35,0.41,Cao,không rõ,,,không tải được trang chủ
furniture_office,x chair,xchair.com,9900,89.14,1.04,Trung bình,không rõ,,,không tải được trang chủ
furniture_office,ergonofis,ergonofis.com,5400,3.55,1.36,Cao,không rõ,,,không tải được trang chủ
furniture_office,progressive desk,progressivedesk.com,1300,25.86,2.27,Cao,không rõ,,,không tải được trang chủ
health_sports,adidas,adidas.com,20400000,0.54,0.05,Cao,không rõ,,,không tải được trang chủ
health_sports,asics,asics.com,6120000,0.41,0.06,Cao,không rõ,,,không tải được trang chủ
health_sports,hoka,hoka.com,2740000,1.40,0.24,Cao,không rõ,,,không tải được trang chủ
health_sports,reebok,reebok.com,1830000,0.63,0.07,Cao,không rõ,,,không tải được trang chủ
health_sports,whoop,whoop.com,1830000,0.64,0.03,Cao,không rõ,,,không tải được trang chủ
health_sports,road runner sports,roadrunnersports.com,246000,1.17,0.25,Cao,không rõ,,,không tải được trang chủ
health_sports,rogue fitness,roguefitness.com,135000,2.74,0.38,Cao,không rõ,,,không tải được trang chủ
health_sports,tonal,tonal.com,110000,6.26,1.57,Trung bình,không rõ,,,không tải được trang chủ
health_sports,momentous,livemomentous.com,74000,5.00,0.65,Cao,không rõ,,,không tải được trang chủ
health_sports,brooks running,brooksrunning.com,49500,1.81,0.07,Cao,không rõ,,,không tải được trang chủ
health_sports,bells of steel,bellsofsteel.com,40500,1.73,0.35,Cao,không rõ,,,không tải được trang chủ
health_sports,athletic greens,drinkag1.com,27100,4.26,1.70,Cao,không rõ,,,không tải được trang chủ
health_sports,vitruvian,vitruvian.com,22200,3.81,1.14,Thấp,không rõ,,,trang chủ lỗi: ConnectionError
health_sports,sixpad,sixpad.com,18100,1.58,0.17,Cao,không rõ,,,trang chủ lỗi: ConnectionError
health_sports,hydrow,hydrow.com,9900,5.54,0.39,Cao,không rõ,,,không tải được trang chủ
health_sports,legion athletics,legionathletics.com,8100,2.45,0.39,Cao,không rõ,,,không tải được trang chủ
health_sports,heavy rep gear,heavyrepgear.com,110,1.34,0.54,Cao,không rõ,,,không tải được trang chủ
home_garden,wayfair,wayfair.com,6120000,1.30,0.10,Cao,không rõ,,,không tải được trang chủ
home_garden,west elm,westelm.com,1220000,3.26,0.88,Cao,không rõ,,,không tải được trang chủ
home_garden,vidaxl,vidaxl.com,823000,3.42,0.41,Cao,không rõ,,,không tải được trang chủ
home_garden,society6,society6.com,74000,2.63,0.56,Cao,không rõ,,,không tải được trang chủ
home_garden,back to the roots,backtotheroots.com,18100,0.49,0.10,Thấp,không rõ,,,không tải được trang chủ
home_garden,rug source,rugsource.com,5400,4.67,1.23,Cao,có,https://rugsource.com/affiliate-program,,
home_garden,bloomscape,bloomscape.com,4400,4.30,1.26,Cao,chỉ referral,https://bloomscape.com/refer-a-friend/,AvantLink,
home_garden,greenstalk garden,greenstalkgarden.com,3600,0.99,0.24,Cao,không rõ,,,không tải được trang chủ
home_garden,floyd home,floyddetroit.com,1600,3.51,0.15,Cao,không rõ,,,không tải được trang chủ
home_garden,rst brands,rstbrands.com,1300,83.06,3.26,Cao,có thể,,CJ,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
home_garden,seedsnow,seedsnow.com,480,2.00,0.59,Trung bình,không rõ,,,không tải được trang chủ
home_kitchen,wayfair,wayfair.com,6120000,1.30,0.10,Cao,không rõ,,,không tải được trang chủ
home_kitchen,mattress firm,mattressfirm.com,673000,5.52,1.57,Cao,không rõ,,,không tải được trang chủ
home_kitchen,instant pot,instanthome.com,550000,0.60,0.10,Cao,không rõ,,,trang chủ lỗi: ConnectTimeout
home_kitchen,cozy earth,cozyearth.com,165000,2.53,0.02,Cao,có thể,,Affiliatly,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
home_kitchen,saatva,saatva.com,135000,10.10,4.10,Cao,không rõ,,,không tải được trang chủ
home_kitchen,boll and branch,bollandbranch.com,110000,3.79,0.40,Cao,không rõ,,,không tải được trang chủ
