mảng,tên dự án,domain dự án,có affiliate,trang affiliate,mạng affiliate,ghi chú
ai_allinone,poe ai,poe.com,không rõ,,,không tải được trang chủ
ai_allinone,you com,you.com,không thấy,,,
ai_business,beautiful ai,beautiful.ai,không thấy,,,
ai_business,chatbase,chatbase.co,có,https://partners.dub.co/chatbase,,
ai_business,clickup ai,clickup.com,có,https://clickup.com/partners/affiliates,PartnerStack,
ai_business,fathom ai,fathom.video,không thấy,,,
ai_business,fireflies ai,fireflies.ai,có,https://fireflies.ai/partnership,FirstPromoter,
ai_business,gamma app,gamma.app,không rõ,,,không tải được trang chủ
ai_business,intercom fin,intercom.com,không thấy,,,
ai_business,motion app,usemotion.com,không thấy,,,
ai_business,otter ai,otter.ai,có,https://otter.ai/partner-program,,
ai_business,reclaim ai,reclaim.ai,có,https://reclaim.ai/affiliate-program,PartnerStack,
ai_business,taskade,taskade.com,không thấy,,,
ai_business,tome ai,tome.app,không rõ,,,không tải được trang chủ
ai_coding,amazon q developer,aws.amazon.com,không thấy,,,
ai_coding,bolt new,bolt.new,không thấy,,,
ai_coding,codeium,codeium.com,không rõ,,,không tải được trang chủ
ai_coding,codium ai,qodo.ai,chỉ referral,https://www.qodo.ai/community/super-qodoer/,,
ai_coding,cursor ai,cursor.com,không thấy,,,
ai_coding,github copilot,github.com,không thấy,,,
ai_coding,lovable ai,lovable.dev,có,https://lovable.dev/partners/affiliates,Impact,
ai_coding,replit,replit.com,chỉ referral,https://replit.com/refer,,
ai_coding,sourcegraph cody,sourcegraph.com,không thấy,,,
ai_coding,tabnine,tabnine.com,không thấy,,,
ai_coding,v0 dev,v0.app,không thấy,,,
ai_coding,windsurf ai,windsurf.com,không rõ,,,không tải được trang chủ
ai_seo,ahrefs,ahrefs.com,không thấy,,,
ai_seo,clearscope,clearscope.io,có thể,,Rewardful,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
ai_seo,frase io,frase.io,có,https://www.frase.io/partners/affiliates,FirstPromoter,
ai_seo,koala ai,koala.sh,có,https://koala.sh/pages/affiliate,,
ai_seo,marketmuse,marketmuse.com,không thấy,,,
ai_seo,neuronwriter,neuronwriter.com,có,https://neuronwriter.com/contact/affiliates/,,
ai_seo,outranking,outranking.io,không thấy,,,
ai_seo,scalenut,scalenut.com,có,https://www.scalenut.com/affiliate,FirstPromoter,
ai_seo,search atlas,searchatlas.com,có,https://searchatlas.com/affiliate-program/,FirstPromoter,
ai_seo,semrush,semrush.com,có,https://www.semrush.com/lp/affiliate-program/en/,Impact,
ai_seo,seo ai,seo.ai,không thấy,,,
ai_seo,surfer seo,surferseo.com,có,https://surferseo.com/affiliate-program/,PartnerStack,
ai_tools,copy ai,copy.ai,không thấy,,,
ai_tools,descript,descript.com,có,https://www.descript.com/affiliate,PartnerStack,
ai_tools,elevenlabs,elevenlabs.io,có,https://elevenlabs.io/affiliates,PartnerStack,
ai_tools,grammarly,grammarly.com,có,https://www.grammarly.com/affiliates,Impact,
ai_tools,invideo,invideo.io,có,https://invideo.io/make/affiliate-program/,Impact,
ai_tools,jasper ai,jasper.ai,có,https://www.jasper.ai/legal/affiliates,FirstPromoter,
ai_tools,midjourney,midjourney.com,không rõ,,,không tải được trang chủ
ai_tools,notion ai,notion.so,có,https://www.notion.com/partners,,
ai_tools,pictory,pictory.ai,có,https://pictory.ai/press-and-partners?nav=mega,FirstPromoter,
ai_tools,quillbot,quillbot.com,không rõ,,,không tải được trang chủ
ai_tools,runway ml,runwayml.com,có,https://runway.com/affiliate-program,,
ai_tools,sudowrite,sudowrite.com,có thể,,Rewardful,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
ai_tools,synthesia,synthesia.io,có,https://www.synthesia.io/partners/affiliates,Rewardful,
ai_tools,writesonic,writesonic.com,có,https://writesonic.com/affiliate,FirstPromoter,
ai_video,captions ai,captions.ai,không thấy,,,
ai_video,colossyan,colossyan.com,có,https://www.colossyan.com/affiliate-program/,Rewardful,
ai_video,d id,d-id.com,có,https://www.d-id.com/affiliate-terms/,,
ai_video,fliki,fliki.ai,có,https://fliki.ai/affiliate-program,,
ai_video,hailuo ai,hailuoai.video,có,https://hailuoai.video/affiliate,Impact,
ai_video,heygen,heygen.com,có,https://www.heygen.com/geniverse/social-creator-program,Rewardful,
ai_video,kling ai,klingai.com,không thấy,,,
ai_video,luma dream machine,lumalabs.ai,không thấy,,,
ai_video,opus clip,opus.pro,có,https://www.opus.pro/affiliate,Rewardful,
ai_video,pixverse,pixverse.ai,có,https://pixverse.ai/en/affiliate,Impact,
ai_video,sora ai,sora.com,không thấy,,,
ai_video,veo 3,deepmind.google,không thấy,,,
ai_video,vidnoz,vidnoz.com,không thấy,,,
ai_voice,adobe podcast,podcast.adobe.com,không thấy,,,
ai_voice,lovo ai,lovo.ai,không rõ,,,không tải được trang chủ
ai_voice,murf ai,murf.ai,có,https://murf.ai/partner-with-us/affiliate,PartnerStack,
ai_voice,play ht,play.ht,không rõ,,,trang chủ lỗi: ConnectionError
ai_voice,resemble ai,resemble.ai,không thấy,,,
ai_voice,speechify,speechify.com,không rõ,,,không tải được trang chủ
ai_voice,suno ai,suno.com,không thấy,,,
ai_voice,udio,udio.com,không thấy,,,
ai_voice,wellsaid labs,wellsaidlabs.com,không thấy,,,
auto,adams polishes,adamspolishes.com,không thấy,,,
auto,advance auto parts,advanceautoparts.com,không rõ,,,không tải được trang chủ
auto,autozone,autozone.com,không rõ,,,không tải được trang chủ
auto,car supplies warehouse,carsupplieswarehouse.com,có,https://www.carsupplieswarehouse.com/pages/affiliate-program,UpPromote,
auto,carparts.com,carparts.com,không rõ,,,trang chủ lỗi: ReadTimeout
auto,chemical guys,chemicalguys.com,có,https://www.chemicalguys.com/pages/affiliate-program,CJ,
auto,covercraft,covercraft.com,không rõ,,,không tải được trang chủ
auto,discount tire,discounttire.com,không rõ,,,không tải được trang chủ
auto,garmin dash cam,garmin.com,không thấy,,,
auto,griots garage,griotsgarage.com,không thấy,,,
auto,meguiars,meguiars.com,không rõ,,,trang chủ lỗi: ReadTimeout
auto,michelin,michelin.com,không thấy,,,
auto,nextbase,nextbase.com,không thấy,,,
auto,noco,no.co,không thấy,,,
auto,rockauto,rockauto.com,không thấy,,,
auto,rough country,roughcountry.com,không rõ,,,không tải được trang chủ
auto,shine armor,shinearmor.com,có thể,,UpPromote,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
auto,thule,thule.com,không thấy,,,
auto,tire rack,tirerack.com,không rõ,,,không tải được trang chủ
auto,viofo,viofo.com,có,https://www.viofo.com/pages/affiliate-program,ShareASale,
auto,vivid racing,vividracing.com,không rõ,,,không tải được trang chủ
auto,weathertech,weathertech.com,không thấy,,,
auto,yakima,yakima.com,có thể,,AvantLink,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
auto,yitamotor,yitamotor.com,không rõ,,,không tải được trang chủ
baby,babybjorn,babybjorn.com,có,https://www.babybjorn.com/about/become-an-affiliate/,CJ,
baby,babylist,babylist.com,có thể,,Impact,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
baby,bugaboo,bugaboo.com,không thấy,,,
baby,bumkins,bumkins.com,không thấy,,,
baby,chicco,chiccousa.com,không thấy,,,
baby,doona,doona.com,không thấy,,,
baby,ergobaby,ergobaby.com,có,https://ergobaby.com/en-us/pages/affiliates,Awin,
baby,esembly,esemblybaby.com,không thấy,,,
baby,finn and emma,finnandemma.com,có,https://www.finnandemma.com/pages/affiliate-program,ShareASale,
baby,graco,gracobaby.com,không rõ,,,không tải được trang chủ
baby,hatch baby,hatch.co,có,https://www.hatch.co/affiliate,Impact,
baby,honest company,honest.com,có,https://honest.com/pages/become-an-honest-brand-ambassador,,
baby,huggies,huggies.com,không thấy,,,
baby,lovevery,lovevery.com,có,https://lovevery.com/pages/affiliate-partnerships,,
baby,newton baby,newtonbaby.com,có,https://www.newtonbaby.com/pages/affiliate-program,Awin,
baby,owlet,owletcare.com,có,https://owletcare.com/pages/affiliate-program,Awin,
baby,pampers,pampers.com,không thấy,,,
baby,smiling tree toys,smilingtreetoys.com,có,https://smilingtreetoys.com/pages/join-our-affiliate-program,Awin,
baby,uppababy,uppababy.com,không thấy,,,
baby,wonderfold,wonderfoldwagon.com,chỉ referral,https://wonderfold.com/pages/creator-program,Rakuten,
beauty,beauty bay,beautybay.com,không thấy,,,
beauty,beauty of joseon,beautyofjoseon.com,không thấy,,,
beauty,bubble skincare,hellobubble.com,không rõ,,,không tải được trang chủ
beauty,cerave,cerave.com,không thấy,,,
beauty,charlotte tilbury,charlottetilbury.com,không thấy,,,
beauty,dieux skin,dieuxskin.com,không thấy,,,
beauty,drunk elephant,drunkelephant.com,có thể,,Pepperjam,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
beauty,dyson airwrap,dyson.com,không thấy,,,
beauty,elizabeth arden,elizabetharden.com,không thấy,,,
beauty,glossier,glossier.com,không thấy,,,
beauty,hum nutrition,humnutrition.com,không thấy,,,
beauty,il makiage,ilmakiage.com,không rõ,,,không tải được trang chủ
beauty,kiehls,kiehls.com,không rõ,,,không tải được trang chủ
beauty,krave beauty,kravebeauty.com,không thấy,,,
beauty,la roche posay,laroche-posay.us,không rõ,,,không tải được trang chủ
beauty,naturium,naturium.com,có thể,,ShareASale,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
beauty,olaplex,olaplex.com,có thể,,Rakuten,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
beauty,paula's choice,paulaschoice.com,không thấy,,,
beauty,rhode skin,rhodeskin.com,không thấy,,,
beauty,sephora,sephora.com,có thể,,"Pepperjam, Rakuten, ShareASale","thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
beauty,sigma beauty,sigmabeauty.com,không rõ,,,không tải được trang chủ
beauty,soft services,softservices.co,không thấy,,,
beauty,tatcha,tatcha.com,có thể,,Rakuten,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
beauty,the inkey list,theinkeylist.com,không thấy,,,
beauty,the ordinary,theordinary.com,không thấy,,,
beauty,topicals,mytopicals.com,không thấy,,,
beauty,ulta,ulta.com,không rõ,,,không tải được trang chủ
beauty,versed skin,versedskin.com,không rõ,,,không tải được trang chủ
beauty,wishtrend,wishtrend.com,không rõ,,,không tải được trang chủ
beauty,youth to the people,youthtothepeople.com,không rõ,,,không tải được trang chủ
camping_outdoor,big agnes,bigagnes.com,không rõ,,,không tải được trang chủ
camping_outdoor,black diamond,blackdiamondequipment.com,không rõ,,,không tải được trang chủ
camping_outdoor,coleman,coleman.com,không rõ,,,không tải được trang chủ
camping_outdoor,durston gear,durstongear.com,không rõ,,,không tải được trang chủ
camping_outdoor,garmin,garmin.com,không thấy,,,
camping_outdoor,gci outdoor,gcioutdoor.com,không rõ,,,không tải được trang chủ
camping_outdoor,gossamer gear,gossamergear.com,không rõ,,,không tải được trang chủ
camping_outdoor,helinox,helinox.com,không rõ,,,không tải được trang chủ
camping_outdoor,hydro flask,hydroflask.com,không rõ,,,không tải được trang chủ
camping_outdoor,hyperlite mountain gear,hyperlitemountaingear.com,có,https://hyperlitemountaingear.com/pages/hyperlite-mountain-gear-affiliate-program,AvantLink,
camping_outdoor,jetboil,jetboil.com,không thấy,,,
camping_outdoor,kelty,kelty.com,không rõ,,,không tải được trang chủ
camping_outdoor,life in tents,lifeintents.com,không rõ,,,không tải được trang chủ
camping_outdoor,nemo equipment,nemoequipment.com,không rõ,,,không tải được trang chủ
camping_outdoor,patagonia,patagonia.com,không rõ,,,không tải được trang chủ
camping_outdoor,rei,rei.com,không rõ,,,trang chủ lỗi: ReadTimeout
camping_outdoor,sea to summit,seatosummitusa.com,không rõ,,,không tải được trang chủ
camping_outdoor,snow peak,snowpeak.com,không rõ,,,không tải được trang chủ
camping_outdoor,tentsile,tentsile.com,không rõ,,,không tải được trang chủ
camping_outdoor,the north face,thenorthface.com,không rõ,,,không tải được trang chủ
camping_outdoor,vargo outdoors,vargooutdoors.com,không rõ,,,không tải được trang chủ
camping_outdoor,yeti,yeti.com,không rõ,,,không tải được trang chủ
camping_outdoor,zpacks,zpacks.com,không rõ,,,không tải được trang chủ
crypto,binance,binance.com,không rõ,,,không tải được trang chủ
crypto,bitget,bitget.com,có,https://www.bitget.com/affiliates,,
crypto,bybit,bybit.com,chỉ referral,https://www.bybit.com/referral,,
crypto,coinbase,coinbase.com,có,https://www.coinbase.com/affiliates,Impact,
crypto,coindcx,coindcx.com,không rõ,,,không tải được trang chủ
crypto,crypto.com,crypto.com,có,https://crypto.com/en/affiliate/,Impact,
crypto,gate.io,gate.io,không rõ,,,không tải được trang chủ
crypto,htx,htx.com,không thấy,,,
crypto,kraken,kraken.com,có,https://www.kraken.com/affiliate,Impact,
crypto,kucoin,kucoin.com,có,https://www.kucoin.com/affiliate,,
crypto,ledger,ledger.com,chỉ referral,https://www.ledger.com/referral,,
crypto,mexc,mexc.com,không rõ,,,trang chủ lỗi: ReadTimeout
crypto,okx,okx.com,có,https://www.okx.com/affiliates,,
crypto,trezor,trezor.io,có,https://trezor.io/affiliate,,
cycling_sports,aventon,aventon.com,không rõ,,,không tải được trang chủ
cycling_sports,blix bike,blixbike.com,không rõ,,,không tải được trang chủ
cycling_sports,canyon bikes,canyon.com,không thấy,,,
cycling_sports,decathlon,decathlon.com,không rõ,,,không tải được trang chủ
cycling_sports,lectric ebikes,lectricebikes.com,không thấy,,,
cycling_sports,muc off,muc-off.com,không rõ,,,không tải được trang chủ
cycling_sports,ornot,ornotbike.com,không rõ,,,không tải được trang chủ
cycling_sports,pnw components,pnwcomponents.com,không rõ,,,không tải được trang chủ
cycling_sports,priority bicycles,prioritybicycles.com,không rõ,,,không tải được trang chủ
cycling_sports,rad power bikes,radpowerbikes.com,không rõ,,,không tải được trang chủ
cycling_sports,ride1up,ride1up.com,có,https://ride1up.com/affiliate-program/,AvantLink,
cycling_sports,sigma sports,sigmasports.com,không thấy,,,
cycling_sports,silca,silca.cc,không rõ,,,không tải được trang chủ
cycling_sports,specialized,specialized.com,có,https://www.specialized.com/us/en/specialized-affiliate-program,Rakuten,
cycling_sports,state bicycle,statebicycle.com,không rõ,,,không tải được trang chủ
cycling_sports,trek bikes,trekbikes.com,không thấy,,,
cycling_sports,under armour,underarmour.com,không rõ,,,không tải được trang chủ
cycling_sports,wahoo fitness,wahoofitness.com,có,https://www.wahoofitness.com/affiliates,Refersion,
cycling_sports,zwift,zwift.com,có,https://www.zwift.com/partner-with-zwift,Impact,
diy_garden,ace hardware,acehardware.com,không rõ,,,không tải được trang chủ
diy_garden,bosch tools,boschtools.com,không thấy,,,
diy_garden,dewalt,dewalt.com,không thấy,,,
diy_garden,festool,festool.com,không thấy,,,
diy_garden,fireball tool,fireballtool.com,không rõ,,,không tải được trang chủ
diy_garden,greenworks,greenworkstools.com,không rõ,,,không tải được trang chủ
diy_garden,grizzly industrial,grizzly.com,không thấy,,,
diy_garden,harbor freight,harborfreight.com,không rõ,,,không tải được trang chủ
diy_garden,home depot,homedepot.com,không rõ,,,không tải được trang chủ
diy_garden,husqvarna,husqvarna.com,không thấy,,,
diy_garden,kreg tool,kregtool.com,không thấy,,,
diy_garden,lowes,lowes.com,không thấy,,,
diy_garden,makita,makita.com,không rõ,,,trang chủ lỗi: SSLError
diy_garden,milwaukee tool,milwaukeetool.com,không thấy,,,
diy_garden,rockler,rockler.com,không thấy,,,
diy_garden,ryobi,ryobitools.com,không rõ,,,không tải được trang chủ
diy_garden,stihl,stihlusa.com,không thấy,,,
diy_garden,toro,toro.com,không thấy,,,
diy_garden,wen products,wenproducts.com,không rõ,,,không tải được trang chủ
diy_garden,woodcraft,woodcraft.com,không rõ,,,không tải được trang chủ
diy_garden,worx,worx.com,không thấy,,,
education,babbel,babbel.com,có,https://www.performcb.com/agency/clients/babbel-affiliate-program/,Impact,
education,busuu,busuu.com,có,https://www.busuu.com/en/partners,CJ,
education,coursera,coursera.org,có,https://www.coursera.org/about/affiliates,Impact,
education,duolingo,duolingo.com,không thấy,,,
education,italki,italki.com,có,https://www.italki.com:443/en/affiliates,,
education,kajabi,kajabi.com,không thấy,,,
education,masterclass,masterclass.com,không rõ,,,không tải được trang chủ
education,pimsleur,pimsleur.com,có,https://www.pimsleur.com:443/business-inquiries/,Impact,
education,preply,preply.com,không rõ,,,không tải được trang chủ
education,rosetta stone,rosettastone.com,có thể,,Impact,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
education,skillshare,skillshare.com,có,https://www.skillshare.com/en/affiliates,Impact,
education,teachable,teachable.com,có,https://www.teachable.com/partners,PartnerStack,
education,thinkific,thinkific.com,không rõ,,,không tải được trang chủ
education,udemy,udemy.com,có,https://www.udemy.com/affiliate/,Impact,
electronics,8bitdo,8bitdo.com,không thấy,,,
electronics,acer,acer.com,không rõ,,,trang chủ lỗi: ReadTimeout
electronics,alienware,alienware.com,không thấy,,,
electronics,anker,anker.com,có,https://www.anker.com/become-an-affiliate?ref=footer,"Affiliatly, Impact, Rakuten",
electronics,asus,asus.com,không thấy,,,
electronics,baseus,baseus.com,không rõ,,,không tải được trang chủ
electronics,belkin,belkin.com,có,https://www.belkin.com/company/affiliates/,Impact,
electronics,bose,bose.com,không thấy,,,
electronics,dbrand,dbrand.com,không thấy,,,
electronics,dell,dell.com,không thấy,,,
electronics,dji,dji.com,không thấy,,,
electronics,ecovacs,ecovacs.com,không thấy,,,
electronics,gopro,gopro.com,không rõ,,,không tải được trang chủ
electronics,grovemade,grovemade.com,có thể,,Refersion,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
electronics,hp,hp.com,không thấy,,,
electronics,insta360,insta360.com,có,https://www.insta360.com/enterprise/industries/partnership,,
electronics,jbl,jbl.com,không rõ,,,trang chủ lỗi: SSLError
electronics,keychron,keychron.com,không rõ,,,không tải được trang chủ
electronics,lenovo,lenovo.com,không thấy,,,
electronics,lg electronics,lg.com,không rõ,,,không tải được trang chủ
electronics,logitech,logitech.com,không thấy,,,
electronics,msi,msi.com,không rõ,,,không tải được trang chủ
electronics,nothing phone,nothing.tech,không thấy,,,
electronics,nuphy,nuphy.com,không rõ,,,không tải được trang chủ
electronics,razer,razer.com,có,https://www.razer.com/affiliate,Impact,
electronics,roborock,roborock.com,không rõ,,,trang chủ lỗi: ConnectTimeout
electronics,samsung,samsung.com,không thấy,,,
electronics,sennheiser,sennheiser.com,không thấy,,,
electronics,shark clean,sharkclean.com,có,https://www.sharkninja.com/affiliate.html,Impact,
electronics,sonos,sonos.com,không rõ,,,không tải được trang chủ
electronics,sony,sony.com,không rõ,,,không tải được trang chủ
electronics,soundcore,soundcore.com,có,https://www.soundcore.com/referral,Rakuten,
electronics,ugreen,ugreen.com,không rõ,,,không tải được trang chủ
fashion,allbirds,allbirds.com,không rõ,,,không tải được trang chủ
fashion,alo yoga,aloyoga.com,không rõ,,,không tải được trang chủ
fashion,asos,asos.com,không rõ,,,trang chủ lỗi: ReadTimeout
fashion,atoms shoes,atoms.com,không rõ,,,không tải được trang chủ
fashion,bombas,bombas.com,không rõ,,,không tải được trang chủ
fashion,buck mason,buckmason.com,có,https://www.buckmason.com/pages/affiliates,ShareASale,
fashion,consuela,consuelastyle.com,không rõ,,,không tải được trang chủ
fashion,daniel wellington,danielwellington.com,không rõ,,,không tải được trang chủ
fashion,everlane,everlane.com,không rõ,,,không tải được trang chủ
fashion,farfetch,farfetch.com,không rõ,,,không tải được trang chủ
fashion,gymshark,gymshark.com,không rõ,,,không tải được trang chủ
fashion,lululemon,lululemon.com,không rõ,,,không tải được trang chủ
fashion,mejuri,mejuri.com,không thấy,,,
fashion,mvmt watches,mvmt.com,không rõ,,,không tải được trang chủ
fashion,nordstrom,nordstrom.com,không rõ,,,không tải được trang chủ
fashion,olukai,olukai.com,không rõ,,,không tải được trang chủ
fashion,quince,onequince.com,không thấy,,,
fashion,ray ban,ray-ban.com,không rõ,,,không tải được trang chủ
fashion,revolve,revolve.com,không rõ,,,trang chủ lỗi: ReadTimeout
fashion,rhone,rhone.com,không thấy,,,
fashion,shein,shein.com,không thấy,,,
fashion,taylor stitch,taylorstitch.com,không rõ,,,không tải được trang chủ
fashion,temu,temu.com,không thấy,,,
fashion,ten thousand,tenthousand.cc,không rõ,,,không tải được trang chủ
fashion,uniqlo,uniqlo.com,không thấy,,,
fashion,vessi,vessi.com,không rõ,,,không tải được trang chủ
fashion,vuori,vuori.com,không thấy,,,
fashion,warby parker,warbyparker.com,không thấy,,,
fashion,zara,zara.com,không thấy,,,
finance,chime,chime.com,không rõ,,,không tải được trang chủ
finance,credit karma,creditkarma.com,không thấy,,,
finance,lendingclub,lendingclub.com,không rõ,,,không tải được trang chủ
finance,nerdwallet,nerdwallet.com,không thấy,,,
finance,payoneer,payoneer.com,có,https://www.payoneer.com/affiliate-program/,,
finance,quickbooks,quickbooks.intuit.com,không rõ,,,trang chủ lỗi: ReadTimeout
finance,revolut,revolut.com,không thấy,,,
finance,robinhood,robinhood.com,không thấy,,,
finance,sofi,sofi.com,không rõ,,,không tải được trang chủ
finance,upstart,upstart.com,không rõ,,,không tải được trang chủ
finance,webull,webull.com,không thấy,,,
finance,wise,wise.com,có,https://wise.com/gb/partnerwise,,
forex,avatrade,avatrade.com,không rõ,,,trang chủ lỗi: ReadTimeout
forex,cmc markets,cmcmarkets.com,không rõ,,,trang chủ lỗi: ReadTimeout
forex,etoro,etoro.com,không rõ,,,trang chủ lỗi: ReadTimeout
forex,exness,exness.com,không rõ,,,trang chủ lỗi: ReadTimeout
forex,forex.com,forex.com,không rõ,,,trang chủ lỗi: ConnectionError
forex,fxpro,fxpro.com,không rõ,,,trang chủ lỗi: ReadTimeout
forex,fxtm,fxtm.com,không rõ,,,trang chủ lỗi: ConnectionError
forex,hfm,hfm.com,không rõ,,,trang chủ lỗi: ReadTimeout
forex,ic markets,icmarkets.com,không rõ,,,trang chủ lỗi: ReadTimeout
forex,ig,ig.com,không rõ,,,trang chủ lỗi: ReadTimeout
forex,interactive brokers,interactivebrokers.com,không rõ,,,trang chủ lỗi: ConnectionError
forex,oanda,oanda.com,không rõ,,,trang chủ lỗi: ReadTimeout
forex,octafx,octafx.com,không rõ,,,trang chủ lỗi: ReadTimeout
forex,pepperstone,pepperstone.com,không thấy,,,
forex,plus500,plus500.com,không rõ,,,trang chủ lỗi: ReadTimeout
forex,roboforex,roboforex.com,không rõ,,,trang chủ lỗi: ConnectionError
forex,saxo bank,home.saxo,không rõ,,,trang chủ lỗi: ReadTimeout
forex,tastyfx,tastyfx.com,không rõ,,,trang chủ lỗi: ConnectionError
forex,trading.com,trading.com,không rõ,,,trang chủ lỗi: ConnectionError
forex,xm,xm.com,không rõ,,,trang chủ lỗi: ConnectionError
furniture_office,autonomous desk,autonomous.ai,không thấy,,,
furniture_office,branch furniture,branchfurniture.com,không rõ,,,không tải được trang chủ
furniture_office,desky,deskyusa.com,không rõ,,,trang chủ lỗi: ConnectionError
furniture_office,ergonofis,ergonofis.com,không rõ,,,không tải được trang chủ
furniture_office,flexispot,flexispot.com,có,https://www.flexispot.com/affiliate,,
furniture_office,haworth,haworth.com,không thấy,,,
furniture_office,herman miller,hermanmiller.com,không thấy,,,
furniture_office,humanscale,humanscale.com,không thấy,,,
furniture_office,mount it,mount-it.com,có thể,,Impact,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
furniture_office,progressive desk,progressivedesk.com,không rõ,,,không tải được trang chủ
furniture_office,sihoo,sihoooffice.com,không rõ,,,không tải được trang chủ
furniture_office,steelcase,steelcase.com,không thấy,,,
furniture_office,uplift desk,upliftdesk.com,có,https://www.upliftdesk.com/affiliate/,Impact,
furniture_office,vari desk,vari.com,không thấy,,,
furniture_office,x chair,xchair.com,không rõ,,,không tải được trang chủ
health_sports,adidas,adidas.com,không rõ,,,không tải được trang chủ
health_sports,asics,asics.com,không rõ,,,không tải được trang chủ
health_sports,athletic greens,drinkag1.com,không rõ,,,không tải được trang chủ
health_sports,bells of steel,bellsofsteel.com,không rõ,,,không tải được trang chủ
health_sports,bowflex,bowflex.com,không thấy,,,
health_sports,brooks running,brooksrunning.com,không rõ,,,không tải được trang chủ
health_sports,garmin fitness,garmin.com,không thấy,,,
health_sports,heavy rep gear,heavyrepgear.com,không rõ,,,không tải được trang chủ
health_sports,hoka,hoka.com,không rõ,,,không tải được trang chủ
health_sports,hydrow,hydrow.com,không rõ,,,không tải được trang chủ
health_sports,hyperice,hyperice.com,không thấy,,,
health_sports,kachava,kachava.com,không thấy,,,
health_sports,legion athletics,legionathletics.com,không rõ,,,không tải được trang chủ
health_sports,momentous,livemomentous.com,không rõ,,,không tải được trang chủ
health_sports,myprotein,myprotein.com,không thấy,,,
health_sports,nike,nike.com,không thấy,,,
health_sports,nordictrack,nordictrack.com,không thấy,,,
health_sports,on running,on.com,không thấy,,,
health_sports,onnit,onnit.com,có,https://www.onnit.com/pages/affiliate-program,Impact,
health_sports,oura ring,ouraring.com,không thấy,,,
health_sports,peloton,onepeloton.com,không thấy,,,
health_sports,reebok,reebok.com,không rõ,,,không tải được trang chủ
health_sports,repr fitness,reprfitness.com,không thấy,,,
health_sports,ritual vitamins,ritual.com,không thấy,,,
health_sports,road runner sports,roadrunnersports.com,không rõ,,,không tải được trang chủ
health_sports,rogue fitness,roguefitness.com,không rõ,,,không tải được trang chủ
health_sports,seed probiotic,seed.com,có thể,,Impact,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng"
health_sports,sixpad,sixpad.com,không rõ,,,trang chủ lỗi: ConnectionError
