mảng,tên dự án,domain dự án,lượt tìm kiếm/tháng,chi phí đầu trang (USD),chi phí thấp nhất (USD),cạnh tranh,affiliate,trang affiliate,mạng affiliate,ghi chú,lý do loại
ai_coding,v0 dev,v0.app,40500,4.47,0.41,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_coding,tabnine,tabnine.com,33100,5.56,0.44,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_coding,amazon q developer,aws.amazon.com,14800,4.73,0.64,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_coding,sourcegraph cody,sourcegraph.com,5400,10.20,0.82,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_seo,semrush,semrush.com,673000,4.33,0.25,Thấp,có,https://www.semrush.com/lp/affiliate-program/en/,Impact,,đăng ký qua Impact
ai_seo,ahrefs,ahrefs.com,301000,20.26,3.36,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_seo,seo ai,seo.ai,33100,20.37,1.53,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_seo,outranking,outranking.io,8100,8.90,0.20,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_seo,marketmuse,marketmuse.com,3600,10.90,2.17,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_tools,grammarly,grammarly.com,6120000,0.02,0.01,Thấp,có,https://www.grammarly.com/affiliates,Impact,,đăng ký qua Impact
ai_tools,invideo,invideo.io,301000,1.88,0.06,Trung bình,có,https://invideo.io/make/affiliate-program/,Impact,,đăng ký qua Impact
ai_tools,copy ai,copy.ai,74000,2.62,0.10,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_video,kling ai,klingai.com,2740000,1.51,0.03,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_video,sora ai,sora.com,1500000,2.01,0.12,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_video,pixverse,pixverse.ai,1220000,0.81,0.03,Thấp,có,https://pixverse.ai/en/affiliate,Impact,,đăng ký qua Impact
ai_video,hailuo ai,hailuoai.video,1220000,0.50,0.01,Trung bình,có,https://hailuoai.video/affiliate,Impact,,đăng ký qua Impact
ai_video,veo 3,deepmind.google,1000000,1.21,0.04,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_video,luma dream machine,lumalabs.ai,301000,1.40,0.03,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_video,vidnoz,vidnoz.com,201000,0.97,0.05,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_video,captions ai,captions.ai,90500,2.13,0.12,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_voice,suno ai,suno.com,4090000,0.72,0.04,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_voice,adobe podcast,podcast.adobe.com,1500000,2.89,0.33,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
ai_voice,udio,udio.com,246000,1.92,0.09,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_voice,resemble ai,resemble.ai,27100,3.00,0.12,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
ai_voice,wellsaid labs,wellsaidlabs.com,6600,5.57,0.15,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
auto,rockauto,rockauto.com,4090000,1.99,0.56,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
auto,michelin,michelin.com,1500000,0.81,0.14,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
auto,weathertech,weathertech.com,450000,2.29,0.45,Cao,không thấy,,,,không tìm thấy chương trình affiliate
auto,thule,thule.com,368000,1.20,0.16,Cao,không thấy,,,,không tìm thấy chương trình affiliate
auto,noco,no.co,60500,1.30,0.22,Cao,không thấy,,,,không tìm thấy chương trình affiliate
auto,garmin dash cam,garmin.com,40500,0.67,0.15,Cao,không thấy,,,,không tìm thấy chương trình affiliate
auto,nextbase,nextbase.com,27100,2.71,0.41,Cao,không thấy,,,,không tìm thấy chương trình affiliate
auto,griots garage,griotsgarage.com,27100,7.29,0.52,Cao,không thấy,,,,không tìm thấy chương trình affiliate
auto,adams polishes,adamspolishes.com,14800,9.63,0.61,Cao,không thấy,,,,không tìm thấy chương trình affiliate
baby,pampers,pampers.com,550000,1.08,0.13,Cao,không thấy,,,,không tìm thấy chương trình affiliate
baby,babylist,babylist.com,550000,0.85,0.20,Trung bình,có thể,,Impact,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng",đăng ký qua Impact
baby,chicco,chiccousa.com,368000,13.11,0.16,Cao,không thấy,,,,không tìm thấy chương trình affiliate
baby,doona,doona.com,301000,1.14,0.12,Cao,không thấy,,,,không tìm thấy chương trình affiliate
baby,bugaboo,bugaboo.com,246000,0.54,0.09,Cao,không thấy,,,,không tìm thấy chương trình affiliate
baby,huggies,huggies.com,246000,1.32,0.12,Cao,không thấy,,,,không tìm thấy chương trình affiliate
baby,uppababy,uppababy.com,135000,1.19,0.13,Cao,không thấy,,,,không tìm thấy chương trình affiliate
baby,hatch baby,hatch.co,12100,0.96,0.20,Cao,có,https://www.hatch.co/affiliate,Impact,,đăng ký qua Impact
baby,bumkins,bumkins.com,6600,0.59,0.09,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
baby,esembly,esemblybaby.com,3600,2.67,0.34,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,dyson airwrap,dyson.com,2240000,1.27,0.18,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,charlotte tilbury,charlottetilbury.com,1830000,3.22,0.28,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,cerave,cerave.com,1830000,0.66,0.10,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,the ordinary,theordinary.com,1220000,0.66,0.09,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,beauty of joseon,beautyofjoseon.com,673000,0.78,0.16,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,paula's choice,paulaschoice.com,450000,1.26,0.17,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,glossier,glossier.com,368000,1.32,0.41,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,elizabeth arden,elizabetharden.com,201000,3.59,0.13,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,beauty bay,beautybay.com,165000,1.33,0.07,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,topicals,mytopicals.com,110000,1.00,0.38,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
beauty,the inkey list,theinkeylist.com,49500,0.98,0.20,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,rhode skin,rhodeskin.com,40500,0.50,0.04,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,hum nutrition,humnutrition.com,22200,1.21,0.26,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,krave beauty,kravebeauty.com,18100,3.20,0.24,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,dieux skin,dieuxskin.com,12100,1.09,0.29,Cao,không thấy,,,,không tìm thấy chương trình affiliate
beauty,soft services,softservices.co,12100,0.81,0.45,Cao,không thấy,,,,không tìm thấy chương trình affiliate
camping_outdoor,garmin,garmin.com,3350000,0.44,0.05,Cao,không thấy,,,,không tìm thấy chương trình affiliate
camping_outdoor,jetboil,jetboil.com,110000,0.58,0.15,Cao,không thấy,,,,không tìm thấy chương trình affiliate
crypto,coinbase,coinbase.com,1830000,9.33,2.10,Thấp,có,https://www.coinbase.com/affiliates,Impact,,đăng ký qua Impact
crypto,kraken,kraken.com,1220000,7.77,0.48,Thấp,có,https://www.kraken.com/affiliate,Impact,,đăng ký qua Impact
crypto,crypto.com,crypto.com,74000,7.76,1.92,Thấp,có,https://crypto.com/en/affiliate/,Impact,,đăng ký qua Impact
crypto,htx,htx.com,74000,4.29,0.55,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
cycling_sports,trek bikes,trekbikes.com,368000,0.47,0.02,Cao,không thấy,,,,không tìm thấy chương trình affiliate
cycling_sports,zwift,zwift.com,368000,2.35,0.16,Cao,có,https://www.zwift.com/partner-with-zwift,Impact,,đăng ký qua Impact
cycling_sports,canyon bikes,canyon.com,301000,0.35,0.01,Cao,không thấy,,,,không tìm thấy chương trình affiliate
cycling_sports,lectric ebikes,lectricebikes.com,110000,1.50,0.20,Cao,không thấy,,,,không tìm thấy chương trình affiliate
cycling_sports,sigma sports,sigmasports.com,60500,2.42,0.19,Cao,không thấy,,,,không tìm thấy chương trình affiliate
diy_garden,lowes,lowes.com,16600000,0.15,0.15,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
diy_garden,husqvarna,husqvarna.com,1220000,1.03,0.29,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
diy_garden,stihl,stihlusa.com,823000,2.82,0.11,Cao,không thấy,,,,không tìm thấy chương trình affiliate
diy_garden,dewalt,dewalt.com,673000,0.55,0.09,Cao,không thấy,,,,không tìm thấy chương trình affiliate
diy_garden,toro,toro.com,550000,5.41,0.37,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
diy_garden,milwaukee tool,milwaukeetool.com,368000,0.88,0.18,Cao,không thấy,,,,không tìm thấy chương trình affiliate
diy_garden,festool,festool.com,246000,1.07,0.08,Cao,không thấy,,,,không tìm thấy chương trình affiliate
diy_garden,worx,worx.com,90500,0.88,0.23,Cao,không thấy,,,,không tìm thấy chương trình affiliate
diy_garden,rockler,rockler.com,74000,0.70,0.25,Cao,không thấy,,,,không tìm thấy chương trình affiliate
diy_garden,bosch tools,boschtools.com,27100,0.87,0.08,Cao,không thấy,,,,không tìm thấy chương trình affiliate
diy_garden,kreg tool,kregtool.com,18100,1.78,0.23,Cao,không thấy,,,,không tìm thấy chương trình affiliate
diy_garden,grizzly industrial,grizzly.com,14800,3.78,0.23,Cao,không thấy,,,,không tìm thấy chương trình affiliate
education,duolingo,duolingo.com,7480000,1.67,0.09,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
education,udemy,udemy.com,4090000,2.98,0.34,Thấp,có,https://www.udemy.com/affiliate/,Impact,,đăng ký qua Impact
education,coursera,coursera.org,3350000,41.40,0.58,Thấp,có,https://www.coursera.org/about/affiliates,Impact,,đăng ký qua Impact
education,rosetta stone,rosettastone.com,368000,3.01,0.37,Thấp,có thể,,Impact,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng",đăng ký qua Impact
education,skillshare,skillshare.com,246000,1.25,0.21,Thấp,có,https://www.skillshare.com/en/affiliates,Impact,,đăng ký qua Impact
education,babbel,babbel.com,246000,3.30,1.18,Trung bình,có,https://www.performcb.com/agency/clients/babbel-affiliate-program/,Impact,,đăng ký qua Impact
education,kajabi,kajabi.com,135000,7.67,0.46,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
education,pimsleur,pimsleur.com,90500,6.00,1.30,Trung bình,có,https://www.pimsleur.com:443/business-inquiries/,Impact,,đăng ký qua Impact
electronics,samsung,samsung.com,16600000,1.62,0.13,Cao,không thấy,,,,không tìm thấy chương trình affiliate
electronics,lenovo,lenovo.com,2740000,5.00,0.22,Cao,không thấy,,,,không tìm thấy chương trình affiliate
electronics,dji,dji.com,2240000,0.57,0.07,Cao,không thấy,,,,không tìm thấy chương trình affiliate
electronics,hp,hp.com,2240000,4.27,0.28,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
electronics,dell,dell.com,1830000,14.83,0.25,Cao,không thấy,,,,không tìm thấy chương trình affiliate
electronics,asus,asus.com,1830000,1.00,0.09,Cao,không thấy,,,,không tìm thấy chương trình affiliate
electronics,nothing phone,nothing.tech,1830000,0.28,0.03,Cao,không thấy,,,,không tìm thấy chương trình affiliate
electronics,logitech,logitech.com,1500000,0.71,0.10,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
electronics,anker,anker.com,1000000,0.55,0.06,Cao,có,https://www.anker.com/become-an-affiliate?ref=footer,"Affiliatly, Impact, Rakuten",,đăng ký qua Impact
electronics,razer,razer.com,823000,0.38,0.04,Thấp,có,https://www.razer.com/affiliate,Impact,,đăng ký qua Impact
electronics,bose,bose.com,823000,3.42,0.19,Cao,không thấy,,,,không tìm thấy chương trình affiliate
electronics,alienware,alienware.com,450000,2.56,0.17,Cao,không thấy,,,,không tìm thấy chương trình affiliate
electronics,sennheiser,sennheiser.com,450000,1.19,0.07,Cao,không thấy,,,,không tìm thấy chương trình affiliate
electronics,8bitdo,8bitdo.com,368000,0.35,0.05,Cao,không thấy,,,,không tìm thấy chương trình affiliate
electronics,ecovacs,ecovacs.com,301000,2.05,0.17,Cao,không thấy,,,,không tìm thấy chương trình affiliate
electronics,dbrand,dbrand.com,301000,0.14,0.14,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
electronics,belkin,belkin.com,201000,0.89,0.08,Trung bình,có,https://www.belkin.com/company/affiliates/,Impact,,đăng ký qua Impact
electronics,shark clean,sharkclean.com,18100,1.34,0.22,Cao,có,https://www.sharkninja.com/affiliate.html,Impact,,đăng ký qua Impact
fashion,shein,shein.com,45500000,503.53,0.87,Cao,không thấy,,,,không tìm thấy chương trình affiliate
fashion,temu,temu.com,45500000,1.74,0.26,Cao,không thấy,,,,không tìm thấy chương trình affiliate
fashion,zara,zara.com,37200000,0.95,0.09,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
fashion,uniqlo,uniqlo.com,13600000,0.51,0.02,Cao,không thấy,,,,không tìm thấy chương trình affiliate
fashion,quince,onequince.com,2240000,0.34,0.02,Cao,không thấy,,,,không tìm thấy chương trình affiliate
fashion,vuori,vuori.com,1220000,1.35,0.02,Cao,không thấy,,,,không tìm thấy chương trình affiliate
fashion,warby parker,warbyparker.com,823000,3.03,0.10,Cao,không thấy,,,,không tìm thấy chương trình affiliate
fashion,mejuri,mejuri.com,550000,2.10,0.11,Cao,không thấy,,,,không tìm thấy chương trình affiliate
fashion,rhone,rhone.com,135000,2.03,0.13,Cao,không thấy,,,,không tìm thấy chương trình affiliate
finance,credit karma,creditkarma.com,3350000,4.60,0.87,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
finance,revolut,revolut.com,3350000,3.59,0.48,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
finance,robinhood,robinhood.com,1830000,11.00,0.37,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
finance,webull,webull.com,301000,20.76,3.29,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
finance,nerdwallet,nerdwallet.com,135000,17.11,4.64,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
forex,pepperstone,pepperstone.com,165000,20.09,1.15,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
furniture_office,herman miller,hermanmiller.com,450000,2.75,0.40,Cao,không thấy,,,,không tìm thấy chương trình affiliate
furniture_office,haworth,haworth.com,135000,5.00,1.25,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
furniture_office,steelcase,steelcase.com,110000,3.29,0.40,Cao,không thấy,,,,không tìm thấy chương trình affiliate
furniture_office,uplift desk,upliftdesk.com,49500,5.00,0.75,Cao,có,https://www.upliftdesk.com/affiliate/,Impact,,đăng ký qua Impact
furniture_office,humanscale,humanscale.com,40500,4.29,0.45,Cao,không thấy,,,,không tìm thấy chương trình affiliate
furniture_office,mount it,mount-it.com,6600,69.12,0.97,Cao,có thể,,Impact,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng",đăng ký qua Impact
furniture_office,vari desk,vari.com,6600,8.69,2.57,Cao,không thấy,,,,không tìm thấy chương trình affiliate
furniture_office,autonomous desk,autonomous.ai,5400,5.77,0.47,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,nike,nike.com,24900000,0.73,0.08,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,oura ring,ouraring.com,2740000,0.73,0.09,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,myprotein,myprotein.com,1220000,1.37,0.16,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,on running,on.com,823000,2.01,0.16,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,peloton,onepeloton.com,673000,2.31,0.38,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,transparent labs,transparentlabs.com,165000,1.12,0.50,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,bowflex,bowflex.com,90500,20.00,0.65,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,nordictrack,nordictrack.com,90500,2.55,0.29,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,therabody,therabody.com,90500,1.04,0.16,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,seed probiotic,seed.com,90500,2.50,1.09,Cao,có thể,,Impact,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng",đăng ký qua Impact
health_sports,kachava,kachava.com,90500,9.56,0.63,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,hyperice,hyperice.com,60500,3.29,0.41,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,ritual vitamins,ritual.com,49500,3.94,0.27,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,onnit,onnit.com,18100,2.47,1.00,Cao,có,https://www.onnit.com/pages/affiliate-program,Impact,,đăng ký qua Impact
health_sports,garmin fitness,garmin.com,2400,1.11,0.08,Cao,không thấy,,,,không tìm thấy chương trình affiliate
health_sports,repr fitness,reprfitness.com,0,0.00,0.00,Không xác định,không thấy,,,,không tìm thấy chương trình affiliate
home_garden,lovesac,lovesac.com,246000,450.07,6.84,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_garden,burrow,burrow.com,165000,23.77,2.61,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
home_garden,article furniture,article.com,110000,4.00,0.87,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_garden,gardeners supply,gardeners.com,33100,4.17,0.79,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_garden,the sill,thesill.com,12100,5.00,1.06,Cao,có,https://www.thesill.com/pages/about-us,Impact,,đăng ký qua Impact
home_garden,sabai design,sabai.design,2400,10.20,1.64,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_garden,medley home,medleyhome.com,880,5.25,1.60,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_kitchen,ikea,ikea.com,55600000,0.98,0.02,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_kitchen,dyson,dyson.com,5000000,3.30,0.13,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_kitchen,delonghi,delonghi.com,823000,1.94,0.20,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_kitchen,casper,casper.com,673000,14.00,1.19,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
home_kitchen,purple mattress,purple.com,301000,16.27,2.92,Cao,có,https://purple.com/affiliate-program,Impact,,đăng ký qua Impact
home_kitchen,breville,breville.com,246000,0.70,0.07,Cao,có,https://www.breville.com/en-us/learn-more/breville-affiliates-program,Impact,,đăng ký qua Impact
home_kitchen,buffy,buffy.co,201000,11.33,3.65,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
home_kitchen,tempur pedic,tempurpedic.com,165000,10.42,2.68,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_kitchen,brooklinen,brooklinen.com,135000,4.01,1.30,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_kitchen,ninja kitchen,ninjakitchen.com,74000,1.33,0.10,Cao,có,https://www.sharkninja.com/affiliate.html,Impact,,đăng ký qua Impact
home_kitchen,avocado mattress,avocadogreenmattress.com,74000,8.63,1.22,Cao,có,https://www.avocadogreenmattress.com/pages/affiliate-program,Impact,,đăng ký qua Impact
home_kitchen,simplihuman,simplehuman.com,60500,4.64,0.38,Cao,có thể,,Impact,"thấy dấu vết mạng affiliate ở trang chủ, chưa mở được trang riêng",đăng ký qua Impact
home_kitchen,dreamcloud,dreamcloudsleep.com,49500,5.52,2.09,Cao,có,https://www.dreamcloudsleep.com/p/affiliates,Impact,,đăng ký qua Impact
home_kitchen,tuft and needle,tuftandneedle.com,27100,18.59,3.72,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_kitchen,parachute home,parachutehome.com,22200,5.39,0.95,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_kitchen,nectar sleep,nectarsleep.com,18100,16.00,2.83,Cao,có,https://www.nectarsleep.com/p/affiliates,Impact,,đăng ký qua Impact
home_kitchen,bear mattress,bearmattress.com,14800,6.35,1.13,Cao,không thấy,,,,không tìm thấy chương trình affiliate
home_kitchen,plushbeds,plushbeds.com,8100,32.75,3.04,Cao,có,https://www.plushbeds.com/pages/partner-with-us,"Impact, ShareASale",,đăng ký qua Impact
home_kitchen,amerisleep,amerisleep.com,2900,25.19,3.21,Cao,có,https://amerisleep.com/affiliates/,"Impact, ShareASale",,đăng ký qua Impact
home_kitchen,sijo home,sijohome.com,480,3.08,1.08,Cao,có,https://sijohome.com/pages/get-100-referral-program,Impact,,đăng ký qua Impact
hosting,ovh,ovhcloud.com,673000,2.74,0.03,Thấp,không thấy,,,,không tìm thấy chương trình affiliate
hosting,liquid web,liquidweb.com,12100,8.43,0.56,Trung bình,có,https://www.liquidweb.com/partner-programs/hosting-affiliate-program/,Impact,,đăng ký qua Impact
insurance,geico,geico.com,2240000,33.30,7.01,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
insurance,state farm,statefarm.com,1500000,25.03,3.57,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
insurance,lemonade insurance,lemonade.com,135000,27.75,5.12,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
insurance,etiqa,etiqa.com.my,74000,37.54,0.24,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
insurance,safetywing,safetywing.com,33100,5.02,1.06,Trung bình,không thấy,,,,không tìm thấy chương trình affiliate
jewelry_watch,seiko,seikowatches.com,1830000,0.25,0.02,Cao,không thấy,,,,không tìm thấy chương trình affiliate
jewelry_watch,tissot,tissotwatches.com,1220000,0.53,0.06,Cao,không thấy,,,,không tìm thấy chương trình affiliate
jewelry_watch,pandora jewelry,pandora.net,823000,1.34,0.16,Cao,không thấy,,,,không tìm thấy chương trình affiliate
jewelry_watch,citizen watch,citizenwatch.com,550000,1.10,0.05,Cao,không thấy,,,,không tìm thấy chương trình affiliate
jewelry_watch,baltic watches,baltic-watches.com,74000,1.20,0.05,Cao,không thấy,,,,không tìm thấy chương trình affiliate
jewelry_watch,nodus watches,noduswatches.com,12100,2.84,0.51,Cao,không thấy,,,,không tìm thấy chương trình affiliate
jewelry_watch,qalo,qalo.com,12100,3.00,0.51,Cao,không thấy,,,,không tìm thấy chương trình affiliate
kitchen_gadgets,nespresso,nespresso.com,3350000,28.96,0.28,Cao,không thấy,,,,không tìm thấy chương trình affiliate
kitchen_gadgets,le creuset,lecreuset.com,1500000,1.01,0.12,Cao,không thấy,,,,không tìm thấy chương trình affiliate
kitchen_gadgets,zwilling,zwilling.com,246000,1.02,0.14,Cao,không thấy,,,,không tìm thấy chương trình affiliate
kitchen_gadgets,cuisinart,cuisinart.com,201000,0.81,0.13,Cao,không thấy,,,,không tìm thấy chương trình affiliate
kitchen_gadgets,vitamix,vitamix.com,201000,0.99,0.20,Cao,không thấy,,,,không tìm thấy chương trình affiliate
kitchen_gadgets,homary,homary.com,90500,23.58,0.82,Cao,không thấy,,,,không tìm thấy chương trình affiliate
